我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
不是丢在厕所的垃圾桶里了吗？分明还可以穿，为什么丢掉？难道是踩到了狗屎？	要是学校里有狗屎那问题就大了。谢谢你。我找不到便鞋，正不知道该怎么办呢！
喔，这样啊。小心点啊。要口香糖吗？	不要。我去拿回来。
你们果然在交往吧？	没有。刚好在车站碰到而已。大概是被谁看见了吧。
呀——喔——，我不在你果然很寂寞吧？	果然有人不在山上也会叫『呀——喔——』。你以为山彦号*10会回应你吗？对了，有同学找你喔。
谁？	名字不太清楚，一个文静的女生跟班长。
椅子好可怜。	跟纯情少女说这种话好吗？
我不觉得你是纯情少女。	嘿嘿嘿嘿，说这种话没关系吗？昨天才有男生跟我告白呢。
昨天放学后被人叫去，然后被告白了。	如果是真的，告诉我没问题吗？
难道你以为米飞兔的叉叉是嘴巴？那是从中间分开的，上面是鼻子，下面是嘴巴。	骗人！
喔，回到原来话题。所以呢？	嗯，我说对不起啦。你猜为什么？
谁晓得。	不告诉你！
这么说来，这种下雨的日子没法出去玩，今天你就到我家来，可以吧？	你家跟我家方向相反，不要！
不要用这么普通的理由随便拒绝啦！这样简直是讨厌人家邀请你，不是嘛？	真没想到，你简直像是以为我不讨厌一样。
总之你听我说啦。听了之后，你搞不好就会想来我家了。	你粉碎了我比水果奶昔*11还坚固的意志。
你话中的条理也跟优格一样呢。好像可以跟我的意志混合在一起。	嗯，要不要混和看看？
不要这么惊愕地看著我啦。好吧好吧，回到原来的主题。上次我不是说过我从来不看书嘛。	你是说过，但是看漫画。
嗯，后来我想起来了，我基本上不看书，但是小时候有一本喜欢的书，是我爸爸买给我的。有兴趣吗？	原来如此，这我很难得地有兴趣喔。我觉得喜欢的书可以展现一个人的本性。像你这样的人会喜欢怎样的书，我很好奇？
《小王子》，你知道吗？	圣·修伯里？
光是你以为《小王子》没有名气，就知道你对书多没兴趣了。	这样啊。所以你看过啰？真是的！
没有，不好意思，我还没看过。	这样啊！
讨厌，我就想会不会是这样。	你知道说谎会下地狱吗？
要是没看过，那我的《小王子》借你看。你今天到我家来拿！	你拿来不就好了吗？
你要女孩子搬重物？	我虽然没看过，但那是文库本吧。
我可以拿去你家喔。	那就不重了吗？算了，随便啦。跟你做这种无谓的争论实在很累，要是你想来我家，那不如我去你家吧。
喔，你很明理嘛。怎么啦？	我跟你学的。草船跟大型船对抗完全没有意义。
下雨真讨厌。	……你的感觉真的和我不合啊！
虽然没有，但同样是高中生，我想应该差不了多少，没什么好玩的吧。	是没错啦。我的房间很朴素。京子的房间里贴满了乐团的海报，比男生还像男生。你喜欢的阳菜，她的房间里都是填充玩具之类的可爱玩意。对了，下次跟阳菜三个人一起去玩吧？
谢谢，不用了。我在漂亮的女生面前会紧张，说不出话来。	这是装傻说我不漂亮，但没用的。那晚你说过我是第三可爱，我可没忘记喔！
我回来了——！	打搅了。
家里没人喔。	……跟空屋大声说自己回来了，你脑子有问题吧。
要玩什么？真心话大冒险？	你不是要借我书吗？我是来借书的。
我不想交也没办法交，我没有朋友。	女朋友就罢了，交朋友吧。
等我想交的时候再说。	想交的时候，嗯，喏。
嗯。	你完全没意思，要我当你女朋友吧？
哇哈哈哈，撞车了！	……你在说什么啊？
啊，女朋友？只是确定一下而已。你并不喜欢我吧？不管怎样，你都不会想要我当你女朋友吧。	……不会。
很好，我放心了。	……………………
『？？？？？』同学就没关系。	…………
噗。	…………
你住在这附近啊。	……不是。
『不可原谅的家伙』，我问你为什么在这里？	……有点事。
我说是小樱吧。	…………
回答我！	……你说的小樱，如果跟我认识的同班同学是同一个人的话，那就是了。
小樱……	…………
总之，不是你跟班上同学以为的那种关系。	就算是这样，小樱还是花时间跟你在一起。
……说得也是。	跟你这种不合群的阴沈家伙！
这种家伙……是说谁……『过份的同学』吗？	对，这家伙缠著小樱，我让他不要再多管闲事，教训了他一下。
不要突然过来啦。我会先丢脸死的。	要是你因为这种前所未闻的方式死了，我会拿来当一辈子的笑话说喔。这是给你，探病的礼物。
完全没事。只是数值有点变动，我爸妈很担心，就送我来住院，没问题的啦。大概住院两星期，接受特别的药物治疗，然后就可以回去上学了。	那个时候已经放暑假了。
你跟其他人，比方说闺蜜恭子同学，是怎么说的？	我跟恭子他们说来割盲肠。医院这里也配合我的说法。她们好像很担心，这样我更不能说实话啦。几天前把我压倒在床上的『交情好的同学』觉得如何？
唔——，我觉得至少应该跟闺蜜恭子同学说清楚。然后就尊重前几天扑过来抱住我的当事人的想法啦。	哎哟，不要让我想起来啊！好丢脸！死前被你压倒的事，要是让恭子知道，你就乖乖等著被宰吧。
你想让闺蜜同学成为杀人凶手吗？真是罪孽深重。	闺蜜同学是什么意思？
这是我给恭子同学取的小名。有亲近的意味。	听起来非常死板，就好像叫课长先生是一样的吧？
点心吃完，开始做功课了。	哎——，再混一会儿嘛！
谢谢。『交情好的同学』很会教人啊。以后当老师吧！	才不要。你为什么老是要我做跟别人扯上关系的事情啊？
可能是要你替我做，如果我不死的话会想做的事吧。	你这么说，我要是拒绝了不是显得很卑鄙嘛，不要这样。
那在你回去之前，变魔术给你看吧。魔术喔！	哎，你已经学会了？
下次我会表演更难的，敬请期待！	我很期待。最后表演从著火的箱子里脱逃吧。
你是说火葬场？那不可能的啦！	就说了不要讲这种笑话。
对了，『交情好的同学』，上次借你的我哥的T恤和内裤呢？	啊……
恭子、『交情好的同学』跟大家都好好玩啊！	你觉得背后说人坏话很好玩？真是恶劣！
我觉得大家之前都不理会你，现在这样注意你很好玩。那你知道自己为什么会陷入现在的状况吗？	当然是因为跟你在一起，不是吗？
大家都不知道『交情好的同学』是怎样的人，所以才会那么想。为了解开彼此的误会，你应该多跟同学们往来。	我不做对大家都没好处的事。
除了你跟恭子同学，其他人都只觉得我是『平凡的同学』吧？	这你问过他们吗？
没问过。但我想应该是这样。	这种事不直接问怎么知道，只是『交情好的同学』自己想像的吧？谁说一定就是正确的。
不管正不正确都无所谓，反正我不跟任何人往来，只是我的想像而已。我喜欢在人家叫我的时候，想像对方是怎么看我的。	干嘛就自已想像自己下结论啊。你是自我完结类的男生？
对了，那你觉得我是怎么想你的？	谁晓得，不是『交情好』吗？
那你是怎么想的？	人家告诉你就没有意思啦。就是因为不知道别人对自己的看法，所以友情跟爱情才有趣。
果然你的想法是这样的。	咦，我们之前也讲过吗？
大家也就罢了，告诉恭子同学吧。她实在很可怕。	我已经说了啊。那孩子非常关心朋友，她觉得你骗了我。
是你的表达能力有问题吧。恭子同学看起来很聪明。	哎，为什么一直称赞恭子，你打算在我死后玩弄她吗？就算是我，也觉得这样太过份啦！
这样下去，一年以后，八成可以变出厉害的大魔术啦。	嗯，差不多吧——嘿！
不要，我还不想成为杀人凶手。	没问题的，濒死的恋人在逃离医院途中死掉，大家一定都会原谅你的。
依照你的理论，就算别人说不要推，还是把人家推进热水里，也可以被原谅啰？	哎，可以吧？
喏，你知道樱花为什么在春天开吗？	你是说自己吗？那我不知道你是什么意思。
不是啦。我什么时候叫过自己的名字？难、难道除了我之外，你还有叫小樱的女人……原来你这么花心，怎么不去死一死啊！	你不要因为天国好像很闲就要把我拉去。对了，你的葬礼一定要在友引日*13举行。
哎——，我希望我的朋友都活著，所以不行啦。	那你能用稿纸写下我死了也没关系的理由吗？喔，刚才是说樱花为什么在春天开吧！就是在春天开的花不是嘛？
原来如此。跟你的名字真相配。	因为很漂亮？怪不好意思的。
『?????』同学的名字也很适合你喔！	……这很难说。
喏……『？？？？？同学』。	……嗯，怎么啦。
玩真心话大冒险，好吗？	……为什么？
你有一定想问的事情，要不就是非常想要的东西吧？而且，如果随便拜托我的话，我可能会拒绝。	不是……那样的。你也有可能直接告诉我，但我没办法决定要不要问，所以就让命运决定了。
……既然你借了我书，只玩一次的话，我就奉陪吧。	谢谢。
真是没办法！就是这样！所以才有趣啊！	……对了，我得想个问题才行。
好啊，你问什么我都会回答喔。要不要问我的初吻之类的？	难得有发问权，我才不会问这种比地下室还低级的问题呢。
……地下室并不低级啊。	对啊，所以呢？你以为我说的话有意义吗？
活著一定……	…………
认可某人、喜欢某人、讨厌某人；跟谁在一起很开心、跟谁在一起很郁闷；跟谁牵手、跟谁拥抱、跟谁擦身而过，那就是活著。只有一个人的话，就不知道自己是否存在。喜欢某人、讨厌某人的我；跟谁在一起很开心、跟谁在一起很郁闷的我，我觉得我和这些人的关系，就是我活著的意义，而不是别人的。我的心是因为大家在才存在，我的身体是因为大家触碰才存在。这样构成的我，现在活著，还在这里活著。所以人活著是有意义的。就跟你和我都是因为自己的选择，所以现在才在这里活著一样。	…………
……喔，找的演讲太热情了。这是认真青少年谈话节目现场吗？	不是，是病房。
……真的。	啊，你终于开口了。什么？『?????』同学？
真的，我从你这里学到了很多。	哇，干嘛突然这么说，真不好意思。
我是认真的。谢谢你。	你发烧了吗？
啊——啊，我真是不走运——	真心话大冒险吗？是啊，但是就算不玩游戏，只要是我答得出来的问题，我都会回答。
我该回去了。肚子饿了。	哎——，这就要走了啊。
你也马上要吃午餐了吧？而且恭子同学来了的话，我可不想被当成午餐吃掉。	吃胰脏吗？
……那个。	这跟上次不一样喔，这不是恶作剧。
……那是什么。	最近不知怎地，喜欢人的体温——
喏，其实我一直在意一件事。	三围吗？因为我的胸部抵著你。
少蠢了。	哇哈哈哈。
恭子不要激动啦！	啊，嗯，那我走了。
恭子还好吧？	啊，嗯。可能是我多心，但我觉得她的眼神好像比上星期锐利，但你说服她大概就跟麻醉枪生效了差不多，她还没扑向我。
不要把我的好朋友讲得跟猛兽一样。	一定没有人用那种眼神看过你。她是装成小猫咪吧。狮子是猫科的猛兽呢。
天气这么好，你为什么到医院来？去外面玩躲避球吧。	第一，是你叫我来的；第二，我自从小学毕业之后就没玩过躲避球了；第三，没有人跟我一起玩。以上三项，挑一个你喜欢的吧。
全部。	真是贪心。那，最后一块桃子给你。
我会伸长脖子等著。	脖子要怎样才能伸长？找人替你拉长吗？
你笨得连惯用语都听不懂了啊？脑子也染上病毒就糟了。	说别人笨的人才笨呢！
错了吧，我说你生病了，但我可没生病。	才没错呢，死吧！因为我要死了。
到这里来，和在家看书吧。还有做作业。	就这样？做点别的事吧，难得放暑假。让恭子代替我跟你一起去旅行，如何？
我没有进入兽栏里的资格。你不跟恭子同学去旅行吗？	恐怕没办法，住院期间延长了，她的社团活动也很忙。
真想再旅行一次啊。	……哎？
……听起来像是那样吗？	对。
这样啊！我虽然看起来很有精神，但其实也有消沈的时候啊——	喂……
你不会死吧？	咦？会死喔！你跟我，大家都会死。
不是这个意思。	要是指胰脏坏掉了，那是会死的。
你之前就有点奇怪了。	…………
要不要我告诉你？发生了什么事。	……嗯。
什——么也没有喔。我只是在想你的事。	我的事？
对，你的事。真心话大冒险也是，我想问的问题没什么大不了的。一定要说的话，就是我希望我们的交情能更好些。	……真的？
嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻。	…………怎么啦？
没有啦，我现在觉得好幸福喔，简直要死掉了。	不行。
你希望我活著？	…………嗯。
真是，我完全没想到你竟然这么需要我，真是太荣幸了。你这个家里蹲第一个需要的人，是我吧！	谁是家里蹲啊？
我的样子跟平常不一样，所以你以为我马上要死了，然后没告诉你？	……对，你住院的时间又突然延长了。
你让我误会，是你不好吧。	我之前不就说过了吗？还有时间的！要不然我不会练习魔术啊——。你刚才说的什么停顿，为什么会介意那种事情？真是小说看太多了吧！
我死了，你要把胰脏吃掉喔。	如果坏掉的地方没了，你是不是就不会死了？那我现在就吃掉吧？
你希望我活著？	非常希望。
啊，今天恭子同学没在这个时候进来呢！	她今天有社团活动。是说你把恭子当成什么了？
这种发语词还真是前所未闻。	最近我想开始写遗书了。
也太早了吧？你说还有时间，到头来是骗我的？	不是啦。我得反覆推敲修改，让最后的成品像样啊。所以我开始写草稿了。
这样很好。写小说也是得花时间反覆修改的。	是吧，我果然没错。你期待著我死后看我写好的遗书吧。
找很期待喔。	期待我早点死？太——过份了。我是可以这么说啦。但你需要我，不希望我死呢——
对了，既然我让你担了不必要的心，等我出院就第一个跟你玩吧。	这种道歉态度还真是傲慢啊。
你讨厌吗？	不讨厌。
出院那天，我会先回家一趟，然后下午就自由了。	要做什么？
什么？	你有女朋友了吧？
不是吗？那是你喜欢的女生吧？不管是哪种下次带她回来吧！	哪种都不是，我不会带她回来的。
不管怎样都好。第一次有能理解你的人出现，我很高兴。	……什么？
你啊，今天要出门吧。	嗯，中午过后。
这个……	好好去告别吧。
我跟小樱同学借了东西。可以还给您吗？	那孩子的？…………嗯，是什么呢。
哪里，我才是。小樱同学生前非常关照我。她一直都非常开朗，和她在一起连我都跟著开心起来。	……是啊，她一直都非常开朗。
那个……我有话要说。	嗯，什么？
其实……我知道她生病的事。	咦……
我今天来访，其实除了上香以外，还有一个请求。我想请您让我看她生病以后，写的像日记一样的笔记。	…………
能让我，看看吗？	……嗯……当然、当然可以……
……谢谢您。	这是小樱留给你的。
谢谢您……	……还有。
她的……小樱同学的手机。	手机……？
那个孩子……不在了之后，我不知道手机该怎么处理。最近一直把电源关著。	麻烦您……请让我看一下。
伯母……	……什么事？
对不起……我知道，不应该这样……但是……对不起……	…………
这送给你。小樱的手帕。你收下她会很高兴的。	……谢谢……您。
是她给了我非常有意义的时光。	……本来想邀你跟我们全家一起吃饭什么的，但关于你的事，那个孩子绝口不提呢。
我还可以再来上香吗？	嗯嗯，当然。到时一定也跟我先生和儿子见见面。对了，也跟恭子……但是你们好像处得不太好的样子。
是，没错。发生了一些事情，她很讨厌我。	看哪一天，不必勉强啦，要是能的话，你跟恭子和我们全家一起吃饭吧。不只是想跟你们道谢，要是小樱重视的两个人能这样相处的话，阿姨会很高兴的。
春树。我叫志贺春树。	啊，是不是有小说家叫这个名字？
你啊……没参加小樱的……葬礼。	…………
……为什么？	那是……
谢谢你来。我们，正式说话，是第一次吧。	…………
我有话要跟恭子同学说，才请你来的，但不知要从何说起。	简单说就好。
……说的也是。对不起，我有东西想给恭子同学看。	…………
……书……？	这是《共病文库》。
……这是……小樱的字。	对。
这是她的书。我收下了她的遗言。	……什么遗言……
这里面的记载都是真的。不是她的恶作剧，也不是我的恶作剧。这是她写的类似日记的记录，最后的几页，是给恭子同学和我的遗书。	……你在……说什么？
她生病了。	……胡说，我不知道。
她没有说。	……你为什么会知道我不知道的事？
别说了……	……我要说，我非告诉恭子同学不可。她也写在本子里了，她说恭子同学是最重要的。所以我希望你听我说。她生病了。要是那时没碰上杀人魔，半年以后她也会死。这是真的。
真的是小樱的字。	真的是她自己写的。
为什么……没有……告诉我……	那是因为，她……
…………	不只是她的遗愿而已，也是我自己选择的。我希望，跟恭子同学，做朋友。
…………	不行吗……
我可跟你不一样。	你不是男生吗？真丢脸。
我出身高贵，所以不用运动的。	不要小看高贵的人是吧。
来，马上就到了。	哎哟，怎么突然精神起来啦。给你糖吃当奖励。
啊，春树负责浇水。去那边打水来。	我问两个问题可以吗？第一，除了浇水，还有别的要负责吗？第二，两个人一起去不好吗？
嗯，啊，辛苦了。	觉得我辛苦就帮忙啊。
因为人家出身高贵嘛。	是啦是啦。来，这边请。
喂，小樱，快起来！	我觉得水不是这样用的。绝对不是。
对墓碑双手合十的时候，要发出声音吗？	通常都是安静地合十。但对她的话，可能发出声音比较好吧？
那就来去小樱家吧。	好啊。
我跟阿姨会好好教训你的。	干嘛，我完全想不出为什么要被教训。
我要教训你的点太多了，不知该从何说起呢。对了，首先是你已经三年级了，还混成这样完全不念书。	这轮不到你来说，我够聪明所以不用念书啦。
这么说来，我第一次跟别人一起去她家。	这才是最需要说教的重点呢。
我们都要幸福喔。	……什么啊，你是在跟我告白吗？去过小樱墓前之后？好恶喔！
跟那人不一样？	对不起，别这样，等一下，刚才的不算。
真的，刚才是我漫不经心，拜托你不要……	要是春树有很多朋友，那我可能不知道是谁啦——。哎，他呀！嗯——。我以为他才比较喜欢文静的女生呢。
很高兴吗？	嗯，对啊，被人喜欢没有人不高兴的吧。
但是要等考完试才要跟他交往。	你也想太远了。我会跟他说的，这样他就会努力念书考试了吧。
这就去小樱家吧！	嗯，樱良在等我们。
