我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
只是，那个……鲁迪乌斯先生。	是。
怎么说，就是那个奴隶啊，在价钱这方面呢，稍微贵了一点。	……毕竟你说是最顶级的奴隶嘛。
如果是随处可见的奴隶，也是可以直接献给您，顺便请您关照一下本店。嘿嘿，偏偏那个奴隶啊，没办法轻易地让您说带走就带走呢。而且也已经找好买家了。	那个买家，是不是叫『伯──斯•格──特』的？
因为能卖到这么高价的奴隶可说是万中无一，所以我们也实在是没有办法就这么忍气吞声呢。	嗯，可以理解。
这样您清楚了吧。我们这边也是逼不得已，当初也是花了不少钱买来的……	……
您的妹妹和其中一位太太，都在魔法大学上课对吧。要是哪天治安变得不好的话……	你这家伙……打算对诺伦和洛琪希出手吗？
啊……啊～当我没说，当我没说。当然了。当然了，我们并不打算和鲁迪乌斯先生敌对。Love & Piece。小的想和您保持良好的关系。	我也是这样想。所以才会像这样和你交谈。
我懂了。	您明白了吗？
…………莉莉雅小姐。	是，请问老爷有何吩咐。
麻烦你去我房间，看金库里有多少就拿多少过来。	……谨遵吩咐。
这是魔石。只要带去适切的地方兑换，光是那一小袋应该就能换到大约五百枚阿斯拉金币吧。	咦？啊？
你们该不会不只抓了泰德路迪亚，连亚德路迪亚的公主也在你们手上吧？因为那两个人总是会一起行动。	咦？没……没有，奴隶就只有那一只而已。
是这样啊……那我就用这些买下莉妮亚。	咦咦！这些？三袋？
不……不用，这……这样，这样就够了！	哎呀，别这么说嘛。因为我最近经常会不在家。要是有人趁我没看到的时候，危害我的家人……如果真有这种事可令人受不了呢。你明白吧？
我希望今后也能跟你们保持良好的关系。比方说，刚刚提到的亚德路迪亚族女孩要是成为了奴隶，或者说有个万一，我的妹妹和女儿变成奴隶的时候。希望你们能够稍微通融一下，如何？	是……是，那是当然，当然会通融的。
我……我知道了！卖您！很够了。我不打算与您为敌，拜托不要再威胁我了。	多谢。
我会向伯雷亚斯写一封亲笔信，麻烦你过几天再连收据一起拿走吧。	啊啊，实……实在……太感谢了。
少爷。	莉莉雅小姐……
太精彩了。	谢谢你。
莉妮亚，你接受这样吗？	呜呜，既然都被救了也不好意思要求喵……希望能够永远爱护我喵……
那么鲁迪，我要往这边走喽。	好的，洛琪希。你今天也要加油喔。
鲁迪也是──	啊──洛琪希老师和男人在一起！
那会不会是洛琪希老师的老公？	咦？那就是那个传说中的？诺伦学姐的哥哥？
这是在强调鲁迪是我的。	……
不……不行吗？	……
怎……怎么了？突然就……在这种地方……	是路上小心的吻。
──伦耶……	那就是魔法大学着名的──
真小只啊，我记得她还未成年吧？	肯定还没尝过男人的滋味。
谢谢你，吉尔巴托。	不会。
学长，那家伙很夸张耶。	真假？他看不起小诺伦？真假？
……啊，嗯，呃。鲁迪乌斯应该，没什么了不起吧？可是，诺伦她，很努力喔。	哈。
所以，你只要跟着我就行了。会让你体验到许多好处。	……呃。
喔喔，你不是米吗……！	啊！好久不见了啊，雷！
那么，今年的特别生就只有我们两人吗？	不，你说错了。
原来如此，你有自己的苦衷啊。我也是因为发生了许多事而被村子赶出来，也就是说我们三个人是很相像的同伴。	我可不是因为什么特别的理由才被赶出来的……只是因为三子没办法继承家业，所以我才干脆离开的……
没关系，我很清楚。不管是谁总是会有不想说的心事。想必你也听说了那个传闻吧？	你也是吗……！
总之，既然都是特别生，就让我们互相帮助吧。只要我们同心协力，要站在这所学校的顶点也不是梦……对吧？	啊……
那个不是莉妮亚学姐吗？	谁？
那个啊，前年的首席。	听说是不良学生的那个……？
嗨，老大。	嗯，你来做什么？
……	……
喂，她怎么会在啊……不是听说回去大森林了吗？	我也是这样听说啊……
不，你应该认错人了。	何……何况我们也不叫那个名字。
不……不是的，没有这回事……！我们只是听到传言，说你已经回大森林了，所以还以为是别人。	普……普露塞娜小姐不在旁边的时候，莉妮亚小姐真的很美，一瞬间还看不出来是谁……所以那个，请饶了我们……
喂，来这里了耶。	为什么……
呃，不自觉就……	害我吓到摔了一跤耶……啊啊真是的，丢脸死了啦……
呃，嗯，演说很棒喔。相当出色。想必父亲也从天上──	我不是在问你这件事！
你为什么会在这种地方霸凌新生啊！	咦？
你都对这些孩子做了什么啊！	没……没有……只是，他们稍微说了一些诺伦的坏话……
我对这种事情已经很习惯了，请不要这样！哥哥没看到他们这么害怕吗！	呃，他们怕的是莉妮亚喔。
话说回来，我听说了喔，哥哥！	什么？听谁说？
可是，莉妮亚学姐已经是毕业生了，请不要在学校里面制造问题！	怎么说是问题喵，我只是稍微跟以前认识的熟人打声招呼而已喵……
哥哥也是。虽然我很高兴你想要保护我，但麻烦你不要过度反应。我自己的事情可以自己解决的。	是，我会铭记在心。
竟然让那个鲁迪乌斯低头了耶！	真不愧是学生会会长。
呃，那他们是？	我听说是特别生。
我……我是阿斯拉王国第一王子的二子，格兰涅尔•札芬恩•阿斯拉……	感谢你如此有礼数。想必格兰涅尔大人待在不习惯的异国土地也有诸多不便。相信您有可能会因为境遇而被人说三道四，但请不用过度在意。要是有什么不安，还请来学生会一趟。不论是在怎样的环境下成长，既然来到魔法大学，我们学生会就会站在学生这一边。不管遭遇何种境遇，为了让各位能放心地努力学习，学生会将全力从旁进行支援。
啊，好的。	那么，祝各位度过美好的学校生活……
我想他和爱丽儿大人不同，身分类似人质，请跟他好好相处吧。明明还那么年幼，不应该被卷入父亲的纷争之中。	也对。算了……我会尽量叮咛他们别对你的妹妹出手。
抱歉啊。	不会不会。
克莱夫最近怎样？	很健康地长大。不过到了晚上会哭，实在很费事……让我想起在养护院的时候。
毕竟克里夫学长是在养护院长大的嘛。	嗯。因为养护院也有很多被弃养的孩子……不过，自己的孩子果然是特别的。
克里夫学长真是了不起，已经有父亲的样子了。	我什么也没做。因为有丽洁在，所以我只是看起来有模有样。
可是像我的话，每个月大约只有一次能一起帮忙照顾小孩。	照顾小孩也有各式各样的形式。依你们家的情况，既有妻子也有女仆，况且你在做你应该做的事情。没有必要看得太重。
以我的角度来看，像你这样没办法每天看见小孩成长……反而很可怜啊。	能被克里夫神父这样说，实在是不胜感激。
克里夫学长，你毕业之后有什么打算？	……不知道。本国的祖父也没有传来任何联络。不过我想先回去一趟。毕竟我也想报告已经结婚生子的事情。
那是之后的事了。	也是呢。
话说，虽然我也是在无形中察觉到的，但你那个时候果然说谎了对吧？	是的，因为关于诅咒这件事，不管我怎么说你们都不肯相信。
唔，是克里夫•格利摩尔吗？	啊，嗯，没错。我是克里夫•格利摩尔……
你每次都很辛苦啊。	这是什么意思啊……！
奥尔斯帝德大人。我们赶紧开始吧，今天有三个。	嗯。
请您戴看看吧。	……
克里夫学长，你觉得如何？	…………不行，比之前更糟。
果然是三号吧。我将一号试着以弗拉克式转换魔力，但看来是反效果。换句话说，很有可能是魔力本身受到诅咒。	魔力本身……？
嗯，就像是奥尔斯帝德……大人的魔力在进入视野的当下，诅咒就会发动那样。	那么，假设用魔力无法通过的物质覆盖全身如何？
如果进去完全没有缝隙的箱子，诅咒当然是不会发动，但根本没有解决任何问题。	所言甚是。
那么，下次就在一个月后吧。	嗯，劳烦你了。克里夫•格利摩尔。我完全没有想到你有这种才能。
不会，要是家人继续反对下去，也只会让我过意不去。更何况人神肯定也不乐见奥尔斯帝德大人能自由行动，所以是为了我自己。	也对。
克里夫学长，久等了。	嗯，那走吧。
克里夫学长，你午餐打算怎么解决？	这个嘛……我先回房间把这个放好后再去餐厅。麻烦你去叫札诺巴，大家一起吃吧。
先敲门……有人在吗～	喔喔！师傅！您来得正好！快请进吧！
札诺巴……你……竟然对茱丽出手……	现在可不是开玩笑的时候！师傅，请您对茱丽施加治愈魔术。她从刚刚开始就血流不止。
我想，八成是生理期吧。最好还是找金洁小姐过来。	咦？喔喔，原来如此！仔细想想，茱丽也是少女啊！完全没有设想到这件事，本王子都给忘了！
喔，在这之前得吃午饭啊。茱丽，你今天就休息吧。在金洁回来前，你可以一个人睡觉吗？	…………我很怕。Master，我希望跟你在一起。
师傅，魔导铠那方面您觉得如何？	还不坏。毕竟连魔物的一击都能挡下。只不过以能力上来看，果然还是靠不住。对上魔物的话没什么问题，但若是和剑士交手的话应该会很吃力。
毕竟已经把防御力、恢复力以及机动力……全部牺牲掉了呢。	不过，如果要维持跟原型机相同的性能，就必须变得更大才行……
算了，也只能一边使用一边改良了。	也对。
对了，师傅，您觉得加特林机枪如何？	那个杀伤力太高，用途有限啊……
话说回来，札诺巴，自动人偶那方面怎么样了？	噢，那边目前冻结中。虽然一部分是因为遇上了瓶颈，但还是守护师傅性命的研究更为重要。
啊……真是抱歉。	哈哈哈，制作魔导铠也很有意思，师傅无须道歉。反倒是本王子想向您道谢呢。
对了，札诺巴，既然茱丽长大了，我想也是时候开始认真贩卖绘本和人偶了，你觉得可行吗？	唔嗯……
……是钱吗？	不，资金方面不用担心。因为爱丽儿公主那边提供了资金援助。在阿斯拉王国当地也准备了工房，生产上不成问题。可是有关商人方面，目前还没有人选。
可以麻烦爱丽儿那边帮忙介绍吗？	爱丽儿殿下最近也十分忙碌，毕竟加冕仪式已近在眼前。本王子认为不应该再麻烦她费心处理此事。
札诺巴，你认为从现在开始的五年内，有可能教会茱丽经商的基础知识吗？	是有可能……但是，茱丽果然还是该当个创作者。至于负责卖场的人，本王子认为再买其他奴隶负责比较妥当。
唔～……果然还是得等计划订定得更严谨一点再执行比较妥当啊。	您说得是。
那么，这件事下次再谈……我们来聊聊如何该改良魔导铠吧。	是，师傅。其实本王子已经构思好下个版本──
诺伦，今天上课教的有哪里不懂吗？	没有，没问题，洛琪希姐。一如往常教得浅显易懂。
我认为自己有特别注意，但如果有不懂的地方请随时告诉我。	到时再麻烦你私下教我吧。
欢迎回来，各位。	……
我们回来了。	欢迎回来，鲁迪、洛琪希……还有，诺伦。
诺姐！欢迎回来！	露西，我回来了～
诺伦，今天是要在家过夜的日子吗？	不是，只是我听说莉妮亚学姐住在我们家，稍微来探望一下。
又要增加了吗？	唔～不清楚呢。莉妮亚虽然看起来那样，但好像很喜欢鲁迪，而且她又很有魅力……
艾莉丝姐怎么说？她没有反对吗？	她说这孩子是我的，不会交给鲁迪。
希露菲，艾莉丝呢？	她带雷欧去散步了喔。我明明说现在有孕在身叫她不要这么做，但她就是听不进去。白天也是，我注意到的时候她已经在挥剑了。就算某种程度上已经安定下来，但要是不小心流掉的话怎么办啊……
别说明天了，从今天开始就要让你好好工作喽！	是，爱夏前辈，请多指教喵！
欢迎您回来！	嗯。
我要你三天后出发。现在开始说明内容。	谨遵您的吩咐！
和平常一样，虽说不是什么重要的工作……你还是在这几天内先和家人道别吧。	遵命！
我回来了，莉妮亚。你在这种地方干什么啊？	呜喵哈哈……我稍微犯了错，被要求反省喵……
妈～妈！爸爸回来了～！	嗯，我听见了～等我一下喔～
莉莉雅小姐，我回来了。	欢迎回来，少爷。
你是不是累了？	不会。
是不是该休息一下比较好？	这不是什么大问题。
真的吗？	是。
如果你身体状况不好的话，请不要客气，要好好休息。	谢谢您的关心。不过，我真的没有大碍。
发生了什么事吗？	……不久前，艾莉丝夫人去了学校一趟。
艾莉丝？去做什么？	她说今天是要教诺伦小姐剑术的日子……
真的是非常抱歉。包含我在内的所有人都试着阻止过了，但回过神来她已经外出……	噢，嗯。辛苦你了。
爱夏？	啊，哥哥……欢迎回来。
那只猫啊，可以扔掉吗？	咦？
啊，扔了也不太好呢。要不然卖给奴隶商人……不对，卖给艾莉丝姐的老家吧。我记得那里愿意出高价买下她对吧？虽然或许不愿意出到一千五百枚阿斯拉金币，但至少应该愿意出一半吧？	等……等等。先冷静下来吧。来，坐吧。
那个啊，虽然也不是什么特别贵重的东西，但已经买不到了喔。毕竟制作者死了，当初买的那间店也倒了。	……不过有形之物嘛，总有一天会坏的，嗯。
那种事我也知道。其实啊，就算是我也不会因为杯子破了就生气啊。	嗯。
只不过，我啊，觉得那只猫不适合担任我们家的女仆。洗碗的话会把餐具打破，打扫的话会把镜子打破，洗衣服的话整张床单都会沾到毛。	一开始任谁都会失败的。毕竟莉妮亚虽然看起来那样，但也是名门的大小姐。
……之前也是，在打扫客厅的时候，还差点把水泼到菈菈身上喔。	水泼到菈菈？为……为什么会这样？
虽然那件事也不对，不过光是这样我也不会说什么。毕竟诺伦姐的话会更严重，记东西也很慢。	别若无其事地损诺伦啦。
哦？	就算搞砸了什么，她也不会觉得羞愧，只会说什么：『喵哈哈哈，抱歉抱歉，下次开始会注意的喵』……
这样的确不太好呢。	对吧？
她很轻视希露菲吗？	怎么说呢，态度比面对艾莉丝姐她们时更轻浮。偶尔还会叫她菲兹。
那肯定是因为希露菲和莉妮亚认识的时间比较久喔。	……那样的话就算了，但我总觉得自从莉妮亚来了之后，家里就有种奇怪的感觉。
总之，我会去要求莉妮亚在犯错的时候得更诚恳地道歉。弄坏的东西就算到她的债务上。态度也得变得更加恭敬……所以，我希望你能再观察一阵子，可以吗？	唔──
好嘛，拜托你啦，爱夏。虽然是那种人，但也是哥哥的朋友啊。	…………好吧，这次就看在哥哥的份上原谅她。
做吧。	我不做。
可是，你想做对吧？我听说了喔，希露菲和洛琪希今天都是不能做的日子。	今天就算了啦，我会忍耐的。
呃，艾莉丝，不要吧。怀孕中这样不好。要是小孩流产，我和艾莉丝都会后悔的。不好，这样绝对不好。	那种事情我也知道。所以我平常也都有在留意啊。
如果我不行的话，抱莉妮亚就行了吧！	呜喵……
这什么鬼？	所以说，是莉妮亚！
那个啊，艾莉丝，这样不算外遇吗？	和奴隶做不算外遇。祖父大人和父亲大人都是这样说的。更何况我也会一起，不会有任何问题！
莉妮亚。	喵……！
我……我是第一次喵，希望能温柔点喵……	…………
艾莉丝，你不要误会了。我想抱的是你，根本不需要那只猫。	是……是吗……？那、那样也好啦，不过在孩子出生前不可以喔。
喂！莉妮亚，以为现在都几点了！你把露西和菈菈都吵起来了啦！	哇喵！菲兹！对……对不起喵，我没有恶意喵！
别叫我菲兹，要叫希露菲！总之已经很晚了，安静一点嘛！	是……是的……
大姐好！好久不见了！	大姐好！
哦，是你啊。有打起精神来吗喵？	是！
很好，继续保持下去喵。	是──！
话说，莉妮亚学姐，这样好吗？	嗯？什喵意思？
你现在的状况，我听说了喔。你好像被学生会会长的大哥当成奴隶了。	算是啦喵。稍微出了点错就落得这个下场了喵。可是成为强者的部下，也是兽族的理想喵，没什么不好的喵。
…………老实说，我幻灭了。	什喵？
的确，现在的我相当落魄。但是你看着喵，总有一天，我绝对会成功以下克上喵。	以下克上吗？
莉妮亚学姐果然厉害！我完全没想到这一点！	哎，毕竟这里不一样喵。
老大，虽然我刚才说了那些话，但那都只是场面话喵。	刚才那些话？
就是以下克上那件事喵。刚才是因为面子问题才那样说，我可没有打算违逆老大哟。	这样啊。
你想要向上爬是没有关系，但是可别打算恩将仇报喔。	那是当然的喵，要是老大觉得我在说谎，现在就去那边的空教室证明也可以喵，希望你温柔对待我喵，嗯哼～
……我问你，这几年，你在梦中有被自称是神的家伙传达过神谕吗？	突然怎么了喵？梦里的神谕？我不太有印象喵……
……算了。不过要是你梦见那种内容，记得要马上告诉我。	是的喵。
……久违了呢。	噢，札诺巴，好久不见喵。
茱丽，你继续作业。	是，Master。
金洁。	是！
不，其实也没什么事。	唔嗯。
话说师傅，请问您为何要带莉妮亚来此？本王子收到小道消息，听说她成为了师傅所属的侍女……	这个嘛，因为发生了许多事情。现在正在帮她找工作。
算了，一事归一事。我们先来聊聊研究的事吧。	喔喔，说得也是啊！
喵哈哈哈！然后我就说了喵，普露塞娜，你该不会是变胖了喵……像这样喵。	不愧是莉妮亚小姐！
要是奥尔斯帝德大人身上没有诅咒，我的确会打算这么做。	那个诅咒只要不直接看到魔力就没关系。所以，别让她跟奥尔斯帝德碰面就好。
在同一间事务所工作的话，总有一天还是会见到面吧。	是吗……也对。况且如果是兽族的话，或许就连气味都会受到诅咒的影响……
你的意思是，兽族会用鼻子闻魔力吗？	嗯，虽然还没有确切证据，但我认为也有这种可能性……既然莉妮亚在的话，去确认看看或许也不坏。如何？
那么，要朝这个方向稍微调查看看吗？	嗯，也好。不过，可以的话最好还是找亚德路迪亚族。听说他们的鼻子比较灵敏。
……也对，可是我们虽然会直接统称为兽族或是魔族，但其中也包含了各式各样的种族。要收集可是很费工夫的。	说得也是呢……
总之，首先要从聚集人群开始呢。	是啊，但话虽如此，我现在不好随意行动，也不擅长召集人群。
莉妮亚。	什……什喵……？
接下来，要让你去召集人群。	召集之后要做什么喵？
这个嘛，让合得来的家伙彼此一组，不管是做买卖也好当佣兵也好，什么都让他们尝试看看。	钱……钱要怎么办喵？
……？知……知道了喵，那场所之类的该怎么办喵？	这部分也从现在开始准备吧。
会不会顺利，不试试看怎么知道呢。	我倒是希望不要再继续增加债务了喵……
……为了不变成那样，你就加油吧。	呜呜……
总之，先以这里作为据点吧。	知道了喵。
爱夏，有件事想拜托你。	……什么事？
我希望你能监视莉妮亚。盯着她别让她乱花钱，还有，为了不让她捅出大漏子，希望你能从旁协助她。	……我还有家里的工作喔。
不需要随时盯着她。只要隔几天一次就行。	这件事，我无论如何都非做不可吗？
当然不是非得这么做不可，但我认为最好交给你来做。	为什么？因为当初说要让莉妮亚当女仆的人是我吗？还是说，是因为让家里的气氛变糟糕的人是我？
不是那样的。	……
只是……你在发现莉妮亚老是搞砸事情的时候，打算马上切割她对吧？	因为……她真的派不上用场，要趁伤害继续扩大之前……
可是，反过来说的话，也可以说是因为你没有好好激发出莉妮亚的能力。	……嗯。毕竟教她工作的人是我，是这样没错。
我觉得呢，爱夏。若是因为有哪里不好就马上抛弃别人，并不是什么好事。	……嗯，我知道。我觉得哥哥的这种地方很了不起。
你愿意再一次，和莉妮亚站在相同立场，从零开始试看看吗？	……
那是为了我好吗？	我是这么认为……但老实说，也有一部分是因为要是你肯从旁协助，就有办法回避最糟糕的状况。
哥哥，要是我现在拒绝，你会讨厌我吗？	不会喔，如果你无论如何都不愿意的话，那也没关系。
我知道了，既然哥哥都这么说了，我会努力试试看。	嗯。
哥哥，谢谢你。	不会，你愿意老实答应我的请求，我才要谢谢你。
就是这么一回事，一起努力吧！	好的喵！
呼……呼……	哼哼哼，怎么啦，勇者啊，这样就结束了吗？
凭你这点实力，就想打败我这个邪恶的大魔术师鲁迪……不对，鲁德•洛奴曼吗！	可……可恶！
咕哇啊啊！	啊啊！里恩哈尔特！
等等，你说谁是变态啊，喂！	就是你！脱下公主的内裤，甚至还戴在头上……你羞不羞愧啊！
呜喔喔喔喔！	天真！
哼哼哼，真是忠心耿耿啊。但是，那个就算公主被掳，也只愿意派出几个人前来救援的国王，有值得你如此效忠的价值吗？	这跟国家无关，因……因为……因为我喜欢公主啊！
唔喔喔喔喔喔！	哼哼哼，真是美丽的爱情啊。但是，爱无法弥补实力的差距！
可……可恶……无法靠近……该怎么办才好……！	哼哼哼，凭你是无法打倒我的。如果有我最害怕的斯佩路德族雕像，以及描写其活跃的绘本在的话，倒是另当别论呢……哈～哈哈哈哈！
啊啊！难道那个是！	没错，是斯佩路德族的──
啊啊……糟糕，我的力量在流失……！	里恩哈尔特！趁现在！
里恩哈尔特……！	公主！您平安无事吧？
里恩哈尔特……啊啊，里恩哈尔特，我相信你一定会来救我的……！	公主……像我这种人竟然对公主抱有爱慕之情，我很明白这是妄自菲薄……可是，可是……
啊啊，没有那种事，里恩哈尔特……我也……我也一直仰慕着你。	公主……您这句话实在让我不胜感激！来，我们回城吧！
那应该是在完成我拜托她的工作吧？	不，这我就不清楚了……虽说是工作，但是她和素行不良的人来往的频率似乎明显增加了。
可是，爱夏有说过喔。她说有得到鲁迪的许可。	……
艾莉丝，艾莉丝你没阻止她吗？	……咦？为什么？
知道他们的聚会场所在哪吗？	我带你去吧。
好啦！我们冲！啦啊啊！	是！
格雷拉特……	那个人就是……
……那您就是……会长！	那就是会长……！
实在非常抱歉。完全没察觉您就是会长。	咦？
顾问在这边，请容我为您带路。	顾问？啊，好的。
对了，这是这个月的保护费喵。	嗯。
嗯，确实收到。	感谢喵。
这样一来，今后也能请您大力相助吗喵？	当然。让我们长～久配合吧。
喵嘻嘻嘻，大人您真坏心啊喵。	呵呵呵，我可比不上莉妮亚喔。
那个啊，其实我照哥哥说的聚集人手，然后运用那群人开始做生意了喔。	……哦，详细告诉我。
……咦？你见过佩尔基乌斯大人了？	嗯，是个很帅气的人喔。
然后啊，我们从他们赚来的钱里面抽几成上缴过来，结果比想像中赚得还要多呢。	没错喵，大家给的保护费比预期的更多喵。真是群守规矩的家伙喵。
不过啊，爱夏，我没想到你会这么喜欢钱呢。	咦！不是啦～
我喜欢的是哥•哥。是因为哥哥说这是为了我好，所以我才会拼命去做的喔。	爱夏……
不管怎么样，你做得很好。	嘿嘿，谢谢哥哥。
可是莉莉雅小姐很担心你，还是回家稍微讲一下吧。	咦～妈妈脑袋很顽固，就算解释她也不会理解啦。我还想试着继续做这份工作耶。
我知道了。哥哥，我相信你喔。因为妈妈非常宠哥哥，你要好好说服她喔。	嗯。
怎么了？	前阵子，大森林寄了一封信过来喵。
大森林吗？	请问有什么不妥吗？
不，要马上出发吗？	我希望越快越好。
日前，我妹妹似乎给您添麻烦了。	无所谓，吾不讨厌贤明之人。
话说，你似乎生了女儿。	是的，您是从爱夏那听说的吗？
哦，看样子有关龙族转生一事，你已经从奥尔斯帝德那听说了是吧？	是。
莉妮亚，可不是对等喔。我们比较卑微。就算爱夏讲话有些失礼也能获得原谅，是因为佩尔基乌斯大人宽宏大量。	是这样吗喵？他不是害怕老大的老大龙神而已吗喵？虽然我没见过，但是个很可怕的人对吧喵？因为克里夫也吓得屁滚尿流嘛喵。
虽说是应用，但只要照平常那样做就行了。	是……
希尔瓦莉尔，地图给他们了吗？	哎呀，我不小心疏忽了。
那么，开始吧。	是。
为了以防万一，魔法阵只会起动一瞬间。你们到对面之后就自己看着办，懂了吗？	？……是。
老大，快想办法喵！	等我一下！
看是要让水结冻后走在上面，或者是制造一艘船用魔术操控的话就能移动。	喔喔，真不愧是老大喵。
不过，在这样的雨势中就分不清现在的方位了。	我也是，这样的话根本认不得路了喵……
该……该怎么办喵？	要在这里等到雨季结束吗？
汪！	真不愧是圣兽大人喵！
莉妮亚，它说什么？	圣兽大人说它知道路，要我们准备好船喵。
好，我们走吧。	没问题吧喵……老大，你魔力够吗喵？拜托不要中途沉下去喵。
呜呜，好不安喵……	汪！
啊，老大，好像是那边喵。	了解，那我们启程吧。
喂，快看！	是圣兽大人！
是人族的男人。	该不会就是那家伙绑架的……
各位，裘耶斯•泰德路迪亚之女，莉妮亚•泰德路迪亚回来了喵！	咦？
真的耶，是莉妮亚。	那家伙长这么大啦。
你这家伙！我们可是从普露塞娜那听说了！	竟然说什么要成为商人！
明明是族长的女儿竟然还敢放弃职责！	真是丢我们一族的脸！
别管莉妮亚了，重点是圣兽大人！	没错，它可总算回来了！
所有人肃静喵！	安静点！
在这里吵吵闹闹也没有意义喵！	现在该做的是把他带去族长家，问出事情的来龙去脉！把路让开！
汪呜！	不过，圣兽大人也是这么说的。
圣兽大人只说『你们家的饭很好吃』而已啊。	哎呀？
汪！	哦，命运吗？
莉妮亚，能麻烦你翻译吗？	嗯？明白了喵。
我记得有个传说提到……圣兽大人在诞生百年之后，将会协助拯救世界之人。	汪！（吾问你，德路迪亚族的使命是什么喵！）
德路迪亚族的使命，是在救世主出现之前守护好圣兽大人。	汪呜！（吾已经找到了喵，这家伙的女儿就是救世主！）
汪汪，汪汪汪！（传说中提到救世主也可能在长大成人之前就死亡吧！到时候吾等会如何！	……根据传说，一旦救世主死去，圣树就会枯竭，圣兽大人也会因虚脱而死。
嘎噜噜噜噜！（吾主已经被盯上了！难道说你想杀了吾吗！	……不，我绝无那种想法。
莉妮亚，圣兽大人说的话是真的吗？	是……是的喵。圣兽大人的确一直守护着老大……鲁迪乌斯大人的小孩喵。
人族的女儿吗……圣兽大人诞生至今才过二十年，距离完成使命的那一刻，应该还得再等上八十年才对……	因为她是人族和魔族的混血，我想会很长寿喵。
魔族怎么可能会是救世主喵！	他说是用召唤魔术叫出来的，肯定是用奇怪的魔术欺骗了圣兽大人！
这个可能性很低。如果真是这样，鲁迪乌斯大人根本不可能来我们村子。鲁迪乌斯大人目前的住处，和大森林可是分别处于世界的两端。既然我们无法轻易出手，那么若是他有做什么亏心事，势必会对这件事隐瞒到底。	说……说得也是。
关于圣兽大人这件事，总之就这样了结吧。	这样好吗？
圣兽大人都这么说了，站在我们的立场也只能遵从。	汪呜！
可是，鲁迪乌斯大人。姑且……我想想，大概十五年后。等鲁迪乌斯大人的孩子长大成人，还请您带她来这里一趟。我想遵照传统，举行圣树的仪式。虽说单程得花上一年时间，想来会相当辛苦，但还是麻烦你了。因为我们也有职责在身。	明白了。
接着，莉妮亚……我们家这只厚脸皮的猫，为什么会在鲁迪乌斯大人身边？	噢，关于这件事情呢，其实因为这家伙打算经商，结果却欠了一大──
裘耶斯先生，其实这家伙原本说要去从商，结果却欠了一屁股债，我在她差点因此沦为奴隶时出手救了她。不过，说穿了也只是帮她代垫债务而已。	原来如此。
为了让她还债，所以目前正让她在我那里工作。	意思是……她成为了鲁迪乌斯大人的奴隶吗？
那个，要老实讲的话是这样没错……可是，我绝对没有把她当成奴隶来看待。只是作为朋友，想帮助她回归社会……	不，没关系。抛弃使命跑去赚钱，结果却欠了一屁股债，给我们一族的英雄鲁迪乌斯大人添麻烦，实在是有辱我们一族的名声。无论要杀要剐，都悉听尊便。
爸爸，这样不会有点过分吗喵？我当时真的很危险喵。差一点就要成为变态贵族的泄欲道具……	的确，鲁迪乌斯大人从小就是个精力旺盛的人。发情期也马上就要开始了，到时还请随意使用莉妮亚。
住口。如果你还是德路迪亚族，就用身体去报答恩情！	呜……呜呜……我……我知道了喵……是我不好喵……
不论如何，确实需要一个人负责照料圣兽大人，何况我们也没有余裕偿还莉妮亚的债务。请您把她带回去吧。	我明白了。
不过，只有莉妮亚一个人我们也不放心。	也是呢。
由我去喵。	不，由我去。
我的剑术比较好，头脑也比较聪明喵。	骗人。我们都有上赞特港的学校，但成绩是我比较好。
魔术的成绩是提露塞娜比较高没错，但除此之外是我比较厉害喵。	才没那种事，托娜是骗子。
喂，普露塞娜，起来。	嗯～我已经吃不下了的说……
吃饭的时间到了。	……嗯啊！
那天有人从背后打昏我，当我清醒的时候已经在食物储藏室的说！	是有人陷害我的说！真是Fuck的说！老大，求求你的说！拜托你找出真凶的说！
一定是有人不想让我当上族长的说！像蜜妮托娜和提露塞娜她们就很可疑的说！	说起来就很奇怪的说。如果我是犯人，怎么可能会用这种立刻穿帮的方法的说！让卡娜鲁娜回去休息也太刻意，何况量也是，我应该会只吃不被发现的量才对的说！
就是这么回事，走吧，亚斯。	亚斯是谁喵？
你就是第一目击者吗？	是。
基梅尔→询问→以前的事	我是不是在哪见过你？
十天前，普露塞娜进行偷吃的现场是什么感觉？	呃，装着蜥蜴肉干的箱子是开着的，普露塞娜小姐躺在那前面睡觉。她捧着吃得饱饱的肚子幸福地说：『我已经吃不下了。』
……换句话说，没有人亲眼目击到普露塞娜吃下肉干的那一幕，是吗？	是的。可是普露塞娜小姐的牙齿还卡着肉，旁边掉着吃到一半的肉，上面也有普露塞娜小姐的唾液味道。
普露塞娜的肚子塞得鼓鼓的……可是，并不清楚肚子里面塞的是不是肉干。没错吧？	不，她打嗝有蜥蜴肉的味道。我自己也吃过，肯定不会错。
其他还有什么吗。比方说……普露塞娜以外的人的脚印之类。	不管是脚印、气味还是毛发都没有遗留在现场。
卡娜鲁娜小姐，请问值班那天，普露塞娜看起来状况如何？	是，她一直碎碎念说：『从早上就什么都没吃的说，快要饿扁的说。』
为什么她没吃任何东西呢？	因为前一天击退魔物时，出现了不少伤患。
